,😂,❤️,😍,😭,♻️,♥️,😊,💕,😒,😘,😔,😩,☺️,😁,👌,😏,😉,👍,😅,🙏,👀,🔥,💔,😌,💙
20201102-210210,5135,3471,1620,3216,44,735,835,496,340,505,1461,446,335,795,292,455,696,859,713,927,918,784,659,568,518
20201102-210710,4979,3348,1618,3087,50,672,705,516,348,541,1455,440,347,780,263,436,656,878,692,926,939,720,701,567,508
20201102-211211,5026,3466,1685,3140,43,699,743,512,330,559,1619,460,376,731,267,485,614,859,791,935,994,727,629,551,534
20201102-211711,5099,3448,1595,3166,60,650,696,539,318,522,1543,478,368,769,289,436,632,793,794,881,908,759,710,560,555
20201102-212212,5005,3383,1615,3074,66,622,693,526,311,537,1465,494,349,700,288,466,618,812,687,990,918,803,716,586,532
20201102-212712,5030,3330,1570,3121,58,622,726,515,340,564,1442,450,331,752,263,512,618,867,759,905,909,717,625,560,583
20201102-213213,4967,3405,1653,3099,53,661,687,525,298,516,1452,438,363,754,257,453,658,782,709,882,970,724,666,571,532
20201102-213713,4944,3258,1634,3079,54,683,698,481,301,537,1467,437,338,730,288,480,584,835,747,986,956,689,639,568,498
20201102-214214,4804,3309,1599,2992,62,640,704,481,325,585,1450,499,374,719,249,454,628,791,750,1039,923,682,659,576,540
20201102-214714,4959,3249,1567,3129,61,695,687,512,313,523,1490,482,347,728,279,420,632,785,759,1029,976,697,673,560,523
20201102-215215,5010,3250,1555,3092,51,649,697,529,363,540,1531,461,332,714,284,440,659,777,718,912,927,713,640,554,525
20201102-215715,4883,3373,1551,3070,56,672,738,527,342,573,1489,510,349,665,289,441,595,861,740,887,927,728,645,511,530
20201102-220216,4810,3256,1618,3080,84,661,741,498,319,500,1426,483,326,696,257,437,592,807,675,894,948,796,650,548,537
20201102-220716,4772,3138,1659,3057,64,645,705,512,328,534,1411,434,314,600,236,466,606,790,741,838,930,681,625,554,504
20201102-221217,4740,3352,1585,3088,97,689,673,522,319,503,1444,445,364,711,280,413,577,723,724,803,922,677,624,601,480
20201102-221717,4588,3167,1639,3130,82,633,706,532,312,518,1468,462,337,629,262,439,589,770,702,859,928,698,715,551,473
20201102-222218,4585,3195,1546,2895,78,617,701,528,312,513,1370,459,318,662,342,431,539,763,751,852,936,695,633,541,509
20201102-222718,4590,3082,1510,3068,66,603,683,504,290,509,1434,491,316,603,243,420,574,734,689,812,864,647,585,537,488
20201102-223219,4436,3097,1564,2911,52,669,650,500,303,513,1447,451,335,608,244,409,553,720,660,846,968,643,651,533,560
20201102-223719,4315,2954,1476,3015,63,670,711,547,300,491,1373,469,296,610,240,431,536,694,696,817,941,638,584,504,523
20201102-224220,4501,2995,1532,2946,62,687,621,517,299,487,1404,504,346,570,241,412,535,705,701,792,920,675,654,547,483
20201102-224720,4396,3048,1461,3112,45,625,672,481,334,516,1380,482,335,556,205,410,485,682,672,923,856,647,597,537,464
20201102-225220,4462,2941,1516,3016,53,582,585,539,301,572,1473,471,317,595,226,386,512,680,626,782,931,619,627,545,478
20201102-225721,4282,2968,1440,3041,46,604,654,490,327,513,1437,482,316,607,220,400,457,731,640,866,859,630,629,512,498
20201102-230221,4267,3139,1598,3003,70,619,706,537,310,495,1435,471,359,593,230,381,545,703,598,854,928,672,595,551,505
20201102-230722,4255,3167,1573,2985,50,616,650,524,320,490,1406,475,353,585,230,380,532,680,615,820,904,656,587,513,473
20201102-231222,4223,3188,1534,3058,65,618,611,502,302,476,1417,511,331,623,207,406,484,661,599,770,889,664,605,517,541
20201102-231723,4232,3130,1593,2964,75,572,644,497,289,476,1346,460,356,600,176,358,501,707,618,820,914,593,561,540,502
20201102-232223,4087,2962,1506,3055,64,573,605,541,264,490,1328,456,364,608,183,393,486,699,594,731,976,632,518,528,428
20201102-232724,4043,3033,1430,3014,73,594,605,501,304,442,1325,438,328,571,224,378,463,642,589,729,940,643,580,543,479
20201102-233224,3827,3054,1564,3013,57,568,583,528,282,443,1368,455,295,561,195,392,431,682,562,822,872,604,523,518,471
20201102-233724,3999,3042,1490,3095,46,600,597,507,292,427,1319,430,308,526,189,358,481,612,619,809,938,639,554,520,460
20201102-234225,3876,2927,1503,3035,57,546,595,488,269,460,1365,449,321,542,205,387,416,576,553,772,864,506,533,513,423
20201102-234725,3900,2984,1447,3144,57,508,613,548,278,438,1281,521,313,600,184,386,424,604,589,795,896,663,536,545,461
20201102-235226,3873,2914,1345,3093,49,589,620,506,280,399,1266,504,342,538,165,381,412,582,552,777,875,622,487,568,476
20201102-235726,3862,2685,1453,3042,50,531,590,490,305,434,1337,507,346,608,174,360,414,622,579,756,856,572,551,561,473
20201103-000227,3739,2840,1488,3143,53,576,603,446,302,424,1351,477,339,515,211,345,463,680,579,756,857,578,527,550,470
20201103-000727,3685,2886,1451,3026,70,535,586,495,283,436,1324,461,345,502,154,335,434,609,600,778,879,617,532,521,458
20201103-001228,3701,2828,1349,3013,67,527,575,517,283,448,1334,483,335,509,178,322,434,595,532,749,839,634,469,542,420
20201103-001728,3707,2798,1500,3002,58,520,559,444,264,405,1305,525,326,537,174,313,418,588,581,750,849,589,510,516,391
20201103-002229,3675,2844,1486,3071,50,530,539,515,264,451,1267,477,336,551,180,349,438,648,610,776,854,580,478,487,466
20201103-002729,3614,2748,1519,3312,63,504,607,506,258,477,1314,487,315,502,179,359,439,583,615,675,864,599,477,539,463
20201103-003229,3666,2853,1471,3449,73,499,658,477,278,430,1296,446,305,568,162,336,438,580,536,742,850,628,490,522,460
20201103-003730,3628,2695,1471,3368,62,507,573,497,285,448,1302,534,302,492,177,322,410,597,559,784,828,604,488,515,480
20201103-004230,3565,2705,1595,3290,67,485,570,476,255,423,1278,502,329,533,142,324,423,542,565,746,921,574,484,509,417
20201103-004731,3479,2740,1488,3210,67,540,578,505,267,440,1299,477,328,547,164,349,439,597,498,796,882,551,456,579,448
20201103-005231,3546,2807,1391,3210,70,516,572,490,239,450,1255,508,343,560,158,313,426,563,499,796,828,569,442,546,432
20201103-005731,3414,2761,1418,3134,67,475,565,485,294,477,1301,455,372,507,183,371,368,549,523,843,878,555,492,534,444
20201103-010232,3594,2823,1530,3145,47,518,575,486,288,453,1299,468,306,544,189,364,384,591,536,741,836,680,511,513,433
20201103-010732,3533,2835,1438,3184,50,498,533,514,267,419,1279,525,353,505,162,342,443,516,528,850,854,576,426,540,430
