,😂,❤️,😍,😭,♻️,♥️,😊,💕,😒,😘,😔,😩,☺️,😁,👌,😏,😉,👍,😅,🙏,👀,🔥,💔,😌,💙
20201103-104323,3547,2312,1154,3064,57,513,718,354,203,455,883,301,344,621,246,306,444,699,622,850,537,526,398,451,442
20201103-104824,3608,2362,1198,2932,39,508,678,365,196,438,849,296,392,602,236,315,504,716,655,902,534,480,362,518,460
20201103-105324,3582,2231,1134,3005,49,504,731,384,224,443,934,318,379,638,251,321,477,689,580,905,550,511,383,444,445
20201103-105824,3707,2323,1197,2945,53,509,672,402,219,448,932,317,371,571,213,347,511,741,590,905,593,456,375,465,429
20201103-110325,3648,2490,1251,3057,61,508,740,442,235,467,923,324,405,623,269,318,498,750,699,894,589,572,419,475,562
20201103-110825,3774,2522,1313,3099,56,580,677,430,233,508,929,334,360,614,244,296,522,746,686,981,607,534,411,472,568
20201103-111326,3803,2384,1214,2935,75,562,709,442,235,471,938,313,397,607,254,282,457,710,710,892,569,555,408,530,486
20201103-111826,3859,2325,1148,3005,75,530,734,418,228,499,1013,321,434,635,247,276,522,734,690,921,587,578,419,507,483
20201103-112327,3830,2377,1143,2999,72,547,707,414,240,451,979,297,404,620,227,325,475,760,706,970,609,594,408,516,462
20201103-112827,3866,2555,1233,2958,71,535,775,411,231,470,1005,318,398,631,257,329,474,755,713,944,571,579,402,483,425
20201103-113327,4025,2526,1319,3452,66,505,760,427,224,496,976,329,378,666,237,318,551,744,748,960,608,528,411,561,420
20201103-113828,4076,2436,1173,3530,49,490,721,412,231,505,1013,365,397,647,218,297,467,775,686,936,609,553,439,550,428
20201103-114328,4158,2558,1277,3558,55,483,759,426,252,465,1033,373,424,659,254,339,484,780,695,944,619,546,421,566,438
20201103-114829,4084,2606,1237,3662,47,501,783,418,244,468,1028,285,433,718,235,307,543,710,667,932,614,513,388,580,467
20201103-115329,4150,2618,1248,3502,57,548,765,513,235,451,1109,322,349,686,243,355,546,759,761,950,650,551,443,568,444
20201103-115830,4305,2660,1287,3565,55,539,771,447,265,514,1082,347,417,713,243,345,542,764,753,962,604,549,415,568,425
20201103-120330,4139,2759,1366,3509,66,634,798,462,281,533,1105,377,425,832,257,335,595,886,770,913,711,648,448,553,495
20201103-120830,4037,2652,1438,3520,62,581,816,465,220,544,1045,385,386,752,232,355,578,782,716,946,661,568,415,586,445
20201103-121331,4173,2774,1390,3498,58,599,728,432,235,525,1005,390,384,712,277,308,513,784,756,1026,605,581,442,552,514
20201103-121831,4262,2698,1380,3682,52,585,760,470,250,552,1142,361,389,720,276,326,530,827,787,963,687,543,434,570,486
20201103-122332,4238,2819,1340,3878,69,570,777,488,251,546,1050,398,461,779,259,334,560,807,696,970,627,585,474,566,521
20201103-122832,4311,2686,1315,3672,69,608,785,464,251,554,1094,376,421,743,253,354,578,794,776,1012,638,586,498,588,464
20201103-123333,4326,2908,1442,3773,63,574,836,465,250,511,1151,400,424,710,278,313,554,861,801,1018,714,736,503,549,475
20201103-123833,4411,2941,1445,3717,63,600,827,436,255,535,1149,362,433,738,264,341,594,887,814,1093,736,719,440,587,516
20201103-124333,4624,2931,1484,4132,45,617,903,496,287,534,1157,425,425,761,262,372,556,834,829,1045,702,670,520,578,475
20201103-124834,4786,2921,1414,4149,67,583,841,444,264,531,1131,454,460,827,256,393,599,843,809,995,699,604,537,585,530
20201103-125334,4717,2913,1358,4192,58,558,910,524,268,575,1190,423,455,827,272,311,594,836,816,1074,730,663,525,613,500
20201103-125835,4730,2854,1556,4243,65,568,904,454,282,526,1147,394,478,762,270,359,583,850,837,1134,822,655,538,614,512
20201103-130335,4863,2954,1671,4237,66,589,917,577,266,601,1210,453,420,867,294,378,577,913,789,1116,822,753,483,656,490
20201103-130836,4917,2895,1452,4053,69,612,934,483,281,623,1200,439,448,785,270,379,584,895,785,1078,867,644,516,635,482
20201103-131336,4900,3081,1550,4306,61,620,967,506,282,565,1169,436,511,839,283,392,575,891,915,1033,814,673,504,616,516
20201103-131837,4835,3060,1538,4306,69,581,946,500,276,561,1228,462,472,791,295,384,615,902,843,1001,798,639,542,700,575
20201103-132337,4980,3060,1526,4104,81,635,898,544,320,606,1255,492,499,818,303,405,661,986,818,1153,804,731,537,672,616
20201103-132837,5101,2952,1576,4276,75,626,913,542,311,565,1263,456,516,803,314,400,626,941,865,1018,827,658,523,682,650
20201103-133338,5055,3146,1554,4258,77,608,905,505,305,575,1285,463,454,814,269,408,597,932,867,1019,865,731,551,643,751
20201103-133838,4996,3168,1540,4251,47,619,889,554,358,580,1364,437,561,827,267,404,676,932,886,1049,899,674,539,671,684
20201103-134339,5182,3131,1501,4147,52,649,932,582,321,609,1276,479,497,879,335,425,602,900,878,1146,889,699,498,695,579
20201103-134839,5279,3193,1675,4337,55,674,957,536,313,614,1342,487,483,853,268,365,598,878,880,1100,894,627,512,708,602
20201103-135340,5338,3158,1544,4229,50,648,972,520,330,633,1298,532,469,871,293,412,617,931,931,1096,846,658,486,742,636
20201103-135840,5304,3162,1678,4382,67,590,922,601,336,628,1383,495,565,864,308,450,614,977,805,1125,839,623,522,678,577
20201103-140340,5285,3346,1745,4420,58,676,1014,576,359,607,1327,502,488,846,293,424,628,928,829,1109,954,830,576,755,622
20201103-140841,5327,3271,1724,4478,76,681,964,610,313,617,1346,452,494,871,272,397,608,976,858,1082,928,736,564,705,602
20201103-141341,5380,3226,1737,4481,68,696,966,578,323,656,1375,472,518,876,281,384,585,987,884,1194,943,777,542,656,569
20201103-141842,5457,3301,1727,4427,59,701,987,621,347,619,1348,477,533,903,290,400,639,1013,930,1137,888,762,571,741,618
20201103-142342,5457,3263,1708,4532,65,655,983,601,332,601,1343,517,532,884,257,421,644,934,856,1139,908,626,532,687,607
20201103-142843,5590,3418,1583,4391,71,677,936,584,350,604,1375,504,545,923,333,390,599,1034,867,1192,907,738,565,715,579
20201103-143343,5592,3569,1663,4703,70,744,913,638,343,636,1412,519,499,860,347,427,637,1003,926,1151,961,758,556,756,574
20201103-143844,5572,3680,1713,4704,65,745,987,621,370,598,1388,563,529,906,281,415,666,936,859,1141,939,743,512,733,620
20201103-144345,5397,3413,1690,4514,53,670,972,583,324,652,1443,472,545,831,320,433,651,894,897,1162,946,756,606,737,594
20201103-144845,5704,3406,1683,4449,52,741,962,628,359,628,1377,487,513,883,290,444,713,929,913,1164,933,780,571,762,620
